ID,DESCRIPTION,Attribut1,Rated Current (A),Rated Voltage (V),Rated Voltage (VDC),Rated Breaking Capacity (A),Mounting,Application
A166,"AmpShield Electric Fuse, Fast Blow, 3A, 250VAC, 60VDC, 10000A (IR), Cartridge",Fast Blow,3A,250V,60V,10000A,Cartridge,Automotive
A167,"CircuitSafe Electric Fuse, Slow Blow, 1.5A, 63VAC, 250VDC, 10000A (IR), Blade",Slow Blow,1.5A,63V,250V,10000A,Blade,Power Supply
A168,"CircuitSafe Electric Fuse, Slow Blow, 7A, 32VAC, 60VDC, 1500A (IR), Surface Mount",Slow Blow,7A,32V,60V,1500A,Surface Mount,Telecom
A169,"Indicators PN Electric Fuse, Resettable, 30A, 400VAC, 60VDC, 1500A (IR), Blade",Resettable,30A,400V,60V,1500A,Blade,Consumer Electronics
A170,"ProtecTech Electric Fuse, Resettable, 2A, 250VAC, 24VDC, 1500A (IR), Panel Mount",Resettable,2A,250V,24V,1500A,Panel Mount,Consumer Electronics
A171,"Indicators PN Electric Fuse, Fast Blow, 25A, 32VAC, 250VDC, 200A (IR), Cartridge",Fast Blow,25A,32V,250V,200A,Cartridge,Telecom
A172,"Voltguard Electric Fuse, Fast Blow, 0.5A, 32VAC, 60VDC, 200A (IR), Surface Mount",Fast Blow,0.5A,32V,60V,200A,Surface Mount,Automotive
A173,"ProtecTech Electric Fuse, HRC, 1.5A, 250VAC, 125VDC, 100A (IR), Panel Mount",HRC,1.5A,250V,125V,100A,Panel Mount,Telecom
A174,"ProtecTech Electric Fuse, Resettable, 30A, 63VAC, 125VDC, 10000A (IR), Surface Mount",Resettable,30A,63V,125V,10000A,Surface Mount,Telecom
A175,"AmpShield Electric Fuse, PTC, 3A, 32VAC, 250VDC, 100A (IR), Through Hole",PTC,3A,32V,250V,100A,Through Hole,Telecom
A176,"Indicators PN Electric Fuse, Fast Blow, 5A, 32VAC, 250VDC, 100A (IR), Panel Mount",Fast Blow,5A,32V,250V,100A,Panel Mount,Consumer Electronics
A177,"ProtecTech Electric Fuse, PTC, 3A, 63VAC, 24VDC, 200A (IR), Surface Mount",PTC,3A,63V,24V,200A,Surface Mount,Industrial
A178,"Indicators PN Electric Fuse, Slow Blow, 0.5A, 125VAC, 48VDC, 50A (IR), Panel Mount",Slow Blow,0.5A,125V,48V,50A,Panel Mount,Industrial
A179,"ProtecTech Electric Fuse, HRC, 2A, 300VAC, 48VDC, 50A (IR), Cartridge",HRC,2A,300V,48V,50A,Cartridge,Industrial
A180,"Indicators PN Electric Fuse, Slow Blow, 3A, 63VAC, 48VDC, 1500A (IR), Cartridge",Slow Blow,3A,63V,48V,1500A,Cartridge,Industrial
A181,"CircuitSafe Electric Fuse, Resettable, 0.5A, 63VAC, 24VDC, 100A (IR), Through Hole",Resettable,0.5A,63V,24V,100A,Through Hole,Power Supply
A182,"Indicators PN Electric Fuse, Slow Blow, 1.5A, 125VAC, 24VDC, 50A (IR), Blade",Slow Blow,1.5A,125V,24V,50A,Blade,Power Supply
A183,"Indicators PN Electric Fuse, Resettable, 1A, 250VAC, 125VDC, 100A (IR), Panel Mount",Resettable,1A,250V,125V,100A,Panel Mount,Power Supply
A184,"AmpShield Electric Fuse, PTC, 15A, 63VAC, 150VDC, 35A (IR), Panel Mount",PTC,15A,63V,150V,35A,Panel Mount,Consumer Electronics
A185,"AmpShield Electric Fuse, Resettable, 0.5A, 32VAC, 125VDC, 200A (IR), Blade",Resettable,0.5A,32V,125V,200A,Blade,Automotive
A186,"Indicators PN Electric Fuse, Resettable, 10A, 32VAC, 24VDC, 100A (IR), Panel Mount",Resettable,10A,32V,24V,100A,Panel Mount,Industrial
A187,"AmpShield Electric Fuse, Fast Blow, 3A, 300VAC, 250VDC, 1500A (IR), Panel Mount",Fast Blow,3A,300V,250V,1500A,Panel Mount,Consumer Electronics
A188,"Indicators PN Electric Fuse, HRC, 15A, 125VAC, 125VDC, 1500A (IR), Panel Mount",HRC,15A,125V,125V,1500A,Panel Mount,Telecom
A189,"AmpShield Electric Fuse, Resettable, 1A, 400VAC, 250VDC, 1500A (IR), Through Hole",Resettable,1A,400V,250V,1500A,Through Hole,Telecom
A190,"CircuitSafe Electric Fuse, Fast Blow, 7A, 125VAC, 125VDC, 200A (IR), Blade",Fast Blow,7A,125V,125V,200A,Blade,Automotive
A191,"Indicators PN Electric Fuse, PTC, 5A, 400VAC, 60VDC, 100A (IR), Through Hole",PTC,5A,400V,60V,100A,Through Hole,Telecom
A192,"ProtecTech Electric Fuse, Slow Blow, 1A, 32VAC, 125VDC, 35A (IR), Cartridge",Slow Blow,1A,32V,125V,35A,Cartridge,Industrial
A193,"CircuitSafe Electric Fuse, Slow Blow, 20A, 300VAC, 150VDC, 100A (IR), Surface Mount",Slow Blow,20A,300V,150V,100A,Surface Mount,Telecom
A194,"CircuitSafe Electric Fuse, Resettable, 7A, 400VAC, 24VDC, 100A (IR), Panel Mount",Resettable,7A,400V,24V,100A,Panel Mount,Consumer Electronics
A195,"Indicators PN Electric Fuse, Slow Blow, 20A, 300VAC, 48VDC, 50A (IR), Blade",Slow Blow,20A,300V,48V,50A,Blade,Industrial
A196,"AmpShield Electric Fuse, Time Lag Blow, 15A, 125VAC, 24VDC, 100A (IR), Panel Mount",Time Lag Blow,15A,125V,24V,100A,Panel Mount,Industrial
A197,"ProtecTech Electric Fuse, HRC, 20A, 300VAC, 250VDC, 10000A (IR), Panel Mount",HRC,20A,300V,250V,10000A,Panel Mount,Automotive
A198,"CircuitSafe Electric Fuse, Resettable, 30A, 125VAC, 24VDC, 50A (IR), Cartridge",Resettable,30A,125V,24V,50A,Cartridge,Consumer Electronics
A199,"Voltguard Electric Fuse, Time Lag Blow, 0.5A, 63VAC, 48VDC, 1500A (IR), Blade",Time Lag Blow,0.5A,63V,48V,1500A,Blade,Automotive
A200,"AmpShield Electric Fuse, Resettable, 25A, 32VAC, 24VDC, 10000A (IR), Panel Mount",Resettable,25A,32V,24V,10000A,Panel Mount,Industrial
A201,"ProtecTech Electric Fuse, PTC, 10A, 125VAC, 48VDC, 100A (IR), Cartridge",PTC,10A,125V,48V,100A,Cartridge,Consumer Electronics
A202,"Indicators PN Electric Fuse, HRC, 1A, 32VAC, 48VDC, 50A (IR), Panel Mount",HRC,1A,32V,48V,50A,Panel Mount,Automotive
A203,"AmpShield Electric Fuse, Time Lag Blow, 10A, 400VAC, 125VDC, 200A (IR), Panel Mount",Time Lag Blow,10A,400V,125V,200A,Panel Mount,Telecom
A204,"CircuitSafe Electric Fuse, Time Lag Blow, 2A, 300VAC, 24VDC, 100A (IR), Blade",Time Lag Blow,2A,300V,24V,100A,Blade,Automotive
A205,"Voltguard Electric Fuse, Resettable, 25A, 300VAC, 125VDC, 1500A (IR), Cartridge",Resettable,25A,300V,125V,1500A,Cartridge,Automotive
A206,"Voltguard Electric Fuse, PTC, 20A, 32VAC, 24VDC, 50A (IR), Cartridge",PTC,20A,32V,24V,50A,Cartridge,Industrial
A207,"Voltguard Electric Fuse, Time Lag Blow, 3A, 125VAC, 24VDC, 35A (IR), Blade",Time Lag Blow,3A,125V,24V,35A,Blade,Telecom
A208,"CircuitSafe Electric Fuse, Fast Blow, 7A, 300VAC, 250VDC, 50A (IR), Panel Mount",Fast Blow,7A,300V,250V,50A,Panel Mount,Power Supply
A209,"Indicators PN Electric Fuse, Slow Blow, 7A, 400VAC, 24VDC, 200A (IR), Surface Mount",Slow Blow,7A,400V,24V,200A,Surface Mount,Telecom
A210,"Indicators PN Electric Fuse, Time Lag Blow, 20A, 250VAC, 150VDC, 200A (IR), Blade",Time Lag Blow,20A,250V,150V,200A,Blade,Consumer Electronics
A211,"Indicators PN Electric Fuse, PTC, 0.5A, 125VAC, 48VDC, 1500A (IR), Blade",PTC,0.5A,125V,48V,1500A,Blade,Consumer Electronics
A212,"Indicators PN Electric Fuse, PTC, 1A, 63VAC, 125VDC, 1500A (IR), Blade",PTC,1A,63V,125V,1500A,Blade,Power Supply
A213,"Indicators PN Electric Fuse, PTC, 3A, 400VAC, 60VDC, 50A (IR), Cartridge",PTC,3A,400V,60V,50A,Cartridge,Industrial
A214,"CircuitSafe Electric Fuse, HRC, 25A, 32VAC, 150VDC, 1500A (IR), Through Hole",HRC,25A,32V,150V,1500A,Through Hole,Consumer Electronics
A215,"Voltguard Electric Fuse, Resettable, 25A, 63VAC, 48VDC, 35A (IR), Through Hole",Resettable,25A,63V,48V,35A,Through Hole,Consumer Electronics
A216,"AmpShield Electric Fuse, Fast Blow, 20A, 63VAC, 250VDC, 35A (IR), Through Hole",Fast Blow,20A,63V,250V,35A,Through Hole,Telecom
A217,"CircuitSafe Electric Fuse, HRC, 20A, 250VAC, 250VDC, 1500A (IR), Panel Mount",HRC,20A,250V,250V,1500A,Panel Mount,Consumer Electronics
A218,"ProtecTech Electric Fuse, Fast Blow, 10A, 32VAC, 125VDC, 200A (IR), Cartridge",Fast Blow,10A,32V,125V,200A,Cartridge,Consumer Electronics
A219,"Indicators PN Electric Fuse, Slow Blow, 5A, 300VAC, 24VDC, 100A (IR), Blade",Slow Blow,5A,300V,24V,100A,Blade,Telecom
A220,"ProtecTech Electric Fuse, Slow Blow, 5A, 125VAC, 24VDC, 10000A (IR), Surface Mount",Slow Blow,5A,125V,24V,10000A,Surface Mount,Power Supply
A221,"ProtecTech Electric Fuse, HRC, 7A, 250VAC, 150VDC, 1500A (IR), Surface Mount",HRC,7A,250V,150V,1500A,Surface Mount,Telecom
A222,"Indicators PN Electric Fuse, Resettable, 2A, 125VAC, 150VDC, 200A (IR), Panel Mount",Resettable,2A,125V,150V,200A,Panel Mount,Industrial
A223,"Indicators PN Electric Fuse, PTC, 1A, 125VAC, 250VDC, 35A (IR), Panel Mount",PTC,1A,125V,250V,35A,Panel Mount,Industrial
A224,"Voltguard Electric Fuse, Fast Blow, 30A, 250VAC, 125VDC, 1500A (IR), Panel Mount",Fast Blow,30A,250V,125V,1500A,Panel Mount,Power Supply
A225,"Indicators PN Electric Fuse, Time Lag Blow, 5A, 125VAC, 125VDC, 200A (IR), Cartridge",Time Lag Blow,5A,125V,125V,200A,Cartridge,Power Supply
A226,"AmpShield Electric Fuse, Resettable, 25A, 125VAC, 24VDC, 100A (IR), Surface Mount",Resettable,25A,125V,24V,100A,Surface Mount,Power Supply
A227,"Indicators PN Electric Fuse, Time Lag Blow, 3A, 400VAC, 250VDC, 1500A (IR), Through Hole",Time Lag Blow,3A,400V,250V,1500A,Through Hole,Consumer Electronics
A228,"ProtecTech Electric Fuse, HRC, 25A, 63VAC, 60VDC, 100A (IR), Blade",HRC,25A,63V,60V,100A,Blade,Industrial
A229,"ProtecTech Electric Fuse, Resettable, 1A, 125VAC, 150VDC, 200A (IR), Cartridge",Resettable,1A,125V,150V,200A,Cartridge,Industrial
A230,"CircuitSafe Electric Fuse, Slow Blow, 25A, 400VAC, 125VDC, 1500A (IR), Cartridge",Slow Blow,25A,400V,125V,1500A,Cartridge,Automotive
A231,"Voltguard Electric Fuse, Time Lag Blow, 1.5A, 63VAC, 60VDC, 200A (IR), Through Hole",Time Lag Blow,1.5A,63V,60V,200A,Through Hole,Industrial
A232,"Indicators PN Electric Fuse, Fast Blow, 1A, 125VAC, 24VDC, 1500A (IR), Panel Mount",Fast Blow,1A,125V,24V,1500A,Panel Mount,Power Supply
A233,"Voltguard Electric Fuse, Resettable, 5A, 300VAC, 48VDC, 1500A (IR), Blade",Resettable,5A,300V,48V,1500A,Blade,Industrial
A234,"AmpShield Electric Fuse, Fast Blow, 30A, 300VAC, 48VDC, 10000A (IR), Blade",Fast Blow,30A,300V,48V,10000A,Blade,Automotive
A235,"AmpShield Electric Fuse, Time Lag Blow, 25A, 400VAC, 48VDC, 200A (IR), Panel Mount",Time Lag Blow,25A,400V,48V,200A,Panel Mount,Consumer Electronics
A236,"ProtecTech Electric Fuse, Fast Blow, 15A, 63VAC, 60VDC, 200A (IR), Through Hole",Fast Blow,15A,63V,60V,200A,Through Hole,Consumer Electronics
A237,"Voltguard Electric Fuse, PTC, 10A, 125VAC, 125VDC, 1500A (IR), Panel Mount",PTC,10A,125V,125V,1500A,Panel Mount,Telecom
A238,"ProtecTech Electric Fuse, Fast Blow, 20A, 63VAC, 60VDC, 35A (IR), Blade",Fast Blow,20A,63V,60V,35A,Blade,Consumer Electronics
A239,"CircuitSafe Electric Fuse, Slow Blow, 30A, 300VAC, 24VDC, 100A (IR), Surface Mount",Slow Blow,30A,300V,24V,100A,Surface Mount,Industrial
A240,"CircuitSafe Electric Fuse, PTC, 15A, 63VAC, 125VDC, 35A (IR), Through Hole",PTC,15A,63V,125V,35A,Through Hole,Telecom
A241,"AmpShield Electric Fuse, Slow Blow, 7A, 32VAC, 125VDC, 1500A (IR), Cartridge",Slow Blow,7A,32V,125V,1500A,Cartridge,Industrial
A242,"Voltguard Electric Fuse, Slow Blow, 5A, 63VAC, 24VDC, 100A (IR), Surface Mount",Slow Blow,5A,63V,24V,100A,Surface Mount,Consumer Electronics
A243,"AmpShield Electric Fuse, Fast Blow, 0.5A, 125VAC, 125VDC, 10000A (IR), Through Hole",Fast Blow,0.5A,125V,125V,10000A,Through Hole,Telecom
A244,"ProtecTech Electric Fuse, HRC, 0.5A, 32VAC, 24VDC, 100A (IR), Through Hole",HRC,0.5A,32V,24V,100A,Through Hole,Industrial
A245,"CircuitSafe Electric Fuse, Resettable, 20A, 300VAC, 125VDC, 35A (IR), Cartridge",Resettable,20A,300V,125V,35A,Cartridge,Industrial
A246,"Indicators PN Electric Fuse, Slow Blow, 0.5A, 63VAC, 125VDC, 10000A (IR), Panel Mount",Slow Blow,0.5A,63V,125V,10000A,Panel Mount,Telecom
A247,"Voltguard Electric Fuse, Slow Blow, 10A, 300VAC, 150VDC, 35A (IR), Panel Mount",Slow Blow,10A,300V,150V,35A,Panel Mount,Power Supply
A248,"Voltguard Electric Fuse, Resettable, 1.5A, 125VAC, 125VDC, 35A (IR), Panel Mount",Resettable,1.5A,125V,125V,35A,Panel Mount,Consumer Electronics
A249,"CircuitSafe Electric Fuse, HRC, 7A, 63VAC, 250VDC, 10000A (IR), Surface Mount",HRC,7A,63V,250V,10000A,Surface Mount,Power Supply
A250,"AmpShield Electric Fuse, Slow Blow, 15A, 300VAC, 150VDC, 1500A (IR), Panel Mount",Slow Blow,15A,300V,150V,1500A,Panel Mount,Automotive
A251,"CircuitSafe Electric Fuse, PTC, 0.5A, 400VAC, 125VDC, 100A (IR), Cartridge",PTC,0.5A,400V,125V,100A,Cartridge,Automotive
A252,"CircuitSafe Electric Fuse, Slow Blow, 5A, 63VAC, 250VDC, 10000A (IR), Surface Mount",Slow Blow,5A,63V,250V,10000A,Surface Mount,Power Supply
A253,"AmpShield Electric Fuse, Fast Blow, 0.5A, 125VAC, 150VDC, 100A (IR), Through Hole",Fast Blow,0.5A,125V,150V,100A,Through Hole,Telecom
A254,"CircuitSafe Electric Fuse, Resettable, 1.5A, 63VAC, 24VDC, 10000A (IR), Blade",Resettable,1.5A,63V,24V,10000A,Blade,Automotive
A255,"AmpShield Electric Fuse, Fast Blow, 0.5A, 63VAC, 24VDC, 100A (IR), Cartridge",Fast Blow,0.5A,63V,24V,100A,Cartridge,Power Supply
A256,"CircuitSafe Electric Fuse, HRC, 10A, 125VAC, 24VDC, 10000A (IR), Through Hole",HRC,10A,125V,24V,10000A,Through Hole,Consumer Electronics
A257,"AmpShield Electric Fuse, Slow Blow, 25A, 125VAC, 60VDC, 35A (IR), Cartridge",Slow Blow,25A,125V,60V,35A,Cartridge,Telecom
A258,"CircuitSafe Electric Fuse, Resettable, 10A, 250VAC, 60VDC, 50A (IR), Blade",Resettable,10A,250V,60V,50A,Blade,Telecom
A259,"ProtecTech Electric Fuse, HRC, 3A, 32VAC, 250VDC, 200A (IR), Surface Mount",HRC,3A,32V,250V,200A,Surface Mount,Telecom
A260,"CircuitSafe Electric Fuse, Fast Blow, 15A, 125VAC, 60VDC, 35A (IR), Surface Mount",Fast Blow,15A,125V,60V,35A,Surface Mount,Consumer Electronics
A261,"CircuitSafe Electric Fuse, Time Lag Blow, 10A, 300VAC, 250VDC, 200A (IR), Through Hole",Time Lag Blow,10A,300V,250V,200A,Through Hole,Telecom
A262,"Indicators PN Electric Fuse, PTC, 0.5A, 400VAC, 60VDC, 1500A (IR), Blade",PTC,0.5A,400V,60V,1500A,Blade,Consumer Electronics
A263,"Indicators PN Electric Fuse, Slow Blow, 25A, 400VAC, 125VDC, 100A (IR), Panel Mount",Slow Blow,25A,400V,125V,100A,Panel Mount,Industrial
A264,"Voltguard Electric Fuse, Fast Blow, 20A, 400VAC, 125VDC, 35A (IR), Through Hole",Fast Blow,20A,400V,125V,35A,Through Hole,Automotive
A265,"Voltguard Electric Fuse, Resettable, 5A, 125VAC, 125VDC, 1500A (IR), Surface Mount",Resettable,5A,125V,125V,1500A,Surface Mount,Power Supply
A266,"Voltguard Electric Fuse, Resettable, 10A, 125VAC, 60VDC, 200A (IR), Surface Mount",Resettable,10A,125V,60V,200A,Surface Mount,Power Supply
A267,"Indicators PN Electric Fuse, HRC, 5A, 250VAC, 60VDC, 10000A (IR), Cartridge",HRC,5A,250V,60V,10000A,Cartridge,Industrial
A268,"Indicators PN Electric Fuse, Slow Blow, 30A, 63VAC, 125VDC, 1500A (IR), Blade",Slow Blow,30A,63V,125V,1500A,Blade,Power Supply
A269,"AmpShield Electric Fuse, Time Lag Blow, 3A, 400VAC, 125VDC, 50A (IR), Panel Mount",Time Lag Blow,3A,400V,125V,50A,Panel Mount,Consumer Electronics
A270,"Indicators PN Electric Fuse, Fast Blow, 1A, 63VAC, 24VDC, 200A (IR), Through Hole",Fast Blow,1A,63V,24V,200A,Through Hole,Telecom
A271,"ProtecTech Electric Fuse, Resettable, 5A, 400VAC, 60VDC, 10000A (IR), Surface Mount",Resettable,5A,400V,60V,10000A,Surface Mount,Power Supply
A272,"ProtecTech Electric Fuse, Time Lag Blow, 3A, 63VAC, 250VDC, 10000A (IR), Through Hole",Time Lag Blow,3A,63V,250V,10000A,Through Hole,Consumer Electronics
A273,"CircuitSafe Electric Fuse, Fast Blow, 1A, 63VAC, 48VDC, 50A (IR), Blade",Fast Blow,1A,63V,48V,50A,Blade,Automotive
A274,"Indicators PN Electric Fuse, HRC, 20A, 125VAC, 125VDC, 1500A (IR), Through Hole",HRC,20A,125V,125V,1500A,Through Hole,Power Supply
A275,"AmpShield Electric Fuse, Slow Blow, 3A, 250VAC, 250VDC, 10000A (IR), Blade",Slow Blow,3A,250V,250V,10000A,Blade,Power Supply
A276,"AmpShield Electric Fuse, PTC, 20A, 32VAC, 48VDC, 100A (IR), Surface Mount",PTC,20A,32V,48V,100A,Surface Mount,Telecom
A277,"Voltguard Electric Fuse, Resettable, 15A, 125VAC, 48VDC, 1500A (IR), Panel Mount",Resettable,15A,125V,48V,1500A,Panel Mount,Industrial
A278,"Voltguard Electric Fuse, PTC, 15A, 32VAC, 24VDC, 1500A (IR), Through Hole",PTC,15A,32V,24V,1500A,Through Hole,Consumer Electronics
A279,"Indicators PN Electric Fuse, Fast Blow, 5A, 400VAC, 48VDC, 100A (IR), Panel Mount",Fast Blow,5A,400V,48V,100A,Panel Mount,Consumer Electronics
A280,"ProtecTech Electric Fuse, Time Lag Blow, 2A, 400VAC, 150VDC, 100A (IR), Through Hole",Time Lag Blow,2A,400V,150V,100A,Through Hole,Consumer Electronics
A281,"Voltguard Electric Fuse, HRC, 1A, 300VAC, 250VDC, 50A (IR), Panel Mount",HRC,1A,300V,250V,50A,Panel Mount,Power Supply
A282,"Indicators PN Electric Fuse, Fast Blow, 25A, 300VAC, 250VDC, 1500A (IR), Cartridge",Fast Blow,25A,300V,250V,1500A,Cartridge,Power Supply
A283,"ProtecTech Electric Fuse, Slow Blow, 1A, 32VAC, 250VDC, 1500A (IR), Cartridge",Slow Blow,1A,32V,250V,1500A,Cartridge,Industrial
A284,"CircuitSafe Electric Fuse, PTC, 20A, 400VAC, 24VDC, 200A (IR), Panel Mount",PTC,20A,400V,24V,200A,Panel Mount,Consumer Electronics
A285,"Indicators PN Electric Fuse, PTC, 2A, 400VAC, 125VDC, 100A (IR), Blade",PTC,2A,400V,125V,100A,Blade,Automotive
A286,"ProtecTech Electric Fuse, Fast Blow, 10A, 250VAC, 125VDC, 200A (IR), Through Hole",Fast Blow,10A,250V,125V,200A,Through Hole,Consumer Electronics
A287,"Voltguard Electric Fuse, Fast Blow, 5A, 400VAC, 60VDC, 10000A (IR), Cartridge",Fast Blow,5A,400V,60V,10000A,Cartridge,Telecom
A288,"Indicators PN Electric Fuse, Time Lag Blow, 15A, 300VAC, 24VDC, 100A (IR), Through Hole",Time Lag Blow,15A,300V,24V,100A,Through Hole,Telecom
A289,"AmpShield Electric Fuse, Time Lag Blow, 10A, 63VAC, 48VDC, 35A (IR), Surface Mount",Time Lag Blow,10A,63V,48V,35A,Surface Mount,Consumer Electronics
A290,"Voltguard Electric Fuse, HRC, 7A, 63VAC, 48VDC, 100A (IR), Panel Mount",HRC,7A,63V,48V,100A,Panel Mount,Consumer Electronics
A291,"Indicators PN Electric Fuse, Fast Blow, 10A, 300VAC, 125VDC, 200A (IR), Cartridge",Fast Blow,10A,300V,125V,200A,Cartridge,Telecom
A292,"CircuitSafe Electric Fuse, Slow Blow, 7A, 300VAC, 125VDC, 50A (IR), Through Hole",Slow Blow,7A,300V,125V,50A,Through Hole,Power Supply
A293,"ProtecTech Electric Fuse, Slow Blow, 0.5A, 125VAC, 125VDC, 1500A (IR), Blade",Slow Blow,0.5A,125V,125V,1500A,Blade,Consumer Electronics
A294,"CircuitSafe Electric Fuse, Slow Blow, 1A, 250VAC, 48VDC, 100A (IR), Cartridge",Slow Blow,1A,250V,48V,100A,Cartridge,Telecom
A295,"ProtecTech Electric Fuse, Slow Blow, 7A, 32VAC, 150VDC, 1500A (IR), Through Hole",Slow Blow,7A,32V,150V,1500A,Through Hole,Consumer Electronics
A296,"ProtecTech Electric Fuse, Time Lag Blow, 1A, 250VAC, 150VDC, 200A (IR), Panel Mount",Time Lag Blow,1A,250V,150V,200A,Panel Mount,Consumer Electronics
A297,"CircuitSafe Electric Fuse, Resettable, 20A, 32VAC, 48VDC, 35A (IR), Blade",Resettable,20A,32V,48V,35A,Blade,Consumer Electronics
A298,"ProtecTech Electric Fuse, HRC, 5A, 63VAC, 48VDC, 1500A (IR), Panel Mount",HRC,5A,63V,48V,1500A,Panel Mount,Telecom
A299,"ProtecTech Electric Fuse, Slow Blow, 0.5A, 32VAC, 48VDC, 10000A (IR), Cartridge",Slow Blow,0.5A,32V,48V,10000A,Cartridge,Telecom
A300,"CircuitSafe Electric Fuse, PTC, 1.5A, 300VAC, 150VDC, 50A (IR), Cartridge",PTC,1.5A,300V,150V,50A,Cartridge,Power Supply
A301,"ProtecTech Electric Fuse, Fast Blow, 7A, 300VAC, 250VDC, 100A (IR), Panel Mount",Fast Blow,7A,300V,250V,100A,Panel Mount,Consumer Electronics
A302,"Indicators PN Electric Fuse, HRC, 15A, 250VAC, 250VDC, 1500A (IR), Cartridge",HRC,15A,250V,250V,1500A,Cartridge,Telecom
A303,"Indicators PN Electric Fuse, Time Lag Blow, 5A, 400VAC, 24VDC, 200A (IR), Panel Mount",Time Lag Blow,5A,400V,24V,200A,Panel Mount,Consumer Electronics
A304,"Indicators PN Electric Fuse, HRC, 10A, 125VAC, 250VDC, 1500A (IR), Panel Mount",HRC,10A,125V,250V,1500A,Panel Mount,Industrial
A305,"Voltguard Electric Fuse, HRC, 10A, 63VAC, 150VDC, 10000A (IR), Panel Mount",HRC,10A,63V,150V,10000A,Panel Mount,Telecom
A306,"Indicators PN Electric Fuse, Resettable, 2A, 32VAC, 150VDC, 10000A (IR), Surface Mount",Resettable,2A,32V,150V,10000A,Surface Mount,Industrial
A307,"ProtecTech Electric Fuse, PTC, 5A, 250VAC, 48VDC, 200A (IR), Through Hole",PTC,5A,250V,48V,200A,Through Hole,Telecom
A308,"Voltguard Electric Fuse, HRC, 10A, 400VAC, 250VDC, 35A (IR), Through Hole",HRC,10A,400V,250V,35A,Through Hole,Power Supply
A309,"Voltguard Electric Fuse, HRC, 5A, 400VAC, 125VDC, 1500A (IR), Blade",HRC,5A,400V,125V,1500A,Blade,Consumer Electronics
A310,"AmpShield Electric Fuse, PTC, 15A, 125VAC, 150VDC, 100A (IR), Cartridge",PTC,15A,125V,150V,100A,Cartridge,Power Supply
A311,"CircuitSafe Electric Fuse, Fast Blow, 2A, 125VAC, 150VDC, 100A (IR), Through Hole",Fast Blow,2A,125V,150V,100A,Through Hole,Consumer Electronics
A312,"CircuitSafe Electric Fuse, Resettable, 2A, 400VAC, 250VDC, 200A (IR), Cartridge",Resettable,2A,400V,250V,200A,Cartridge,Telecom
A313,"AmpShield Electric Fuse, HRC, 30A, 125VAC, 60VDC, 35A (IR), Panel Mount",HRC,30A,125V,60V,35A,Panel Mount,Power Supply
A314,"CircuitSafe Electric Fuse, PTC, 5A, 63VAC, 60VDC, 35A (IR), Cartridge",PTC,5A,63V,60V,35A,Cartridge,Automotive
A315,"ProtecTech Electric Fuse, PTC, 25A, 125VAC, 250VDC, 200A (IR), Through Hole",PTC,25A,125V,250V,200A,Through Hole,Industrial
A316,"ProtecTech Electric Fuse, Time Lag Blow, 15A, 400VAC, 60VDC, 50A (IR), Surface Mount",Time Lag Blow,15A,400V,60V,50A,Surface Mount,Power Supply
A317,"Indicators PN Electric Fuse, Fast Blow, 2A, 32VAC, 250VDC, 1500A (IR), Through Hole",Fast Blow,2A,32V,250V,1500A,Through Hole,Industrial
A318,"Indicators PN Electric Fuse, Slow Blow, 7A, 125VAC, 250VDC, 200A (IR), Surface Mount",Slow Blow,7A,125V,250V,200A,Surface Mount,Industrial
A319,"CircuitSafe Electric Fuse, HRC, 1.5A, 250VAC, 250VDC, 200A (IR), Blade",HRC,1.5A,250V,250V,200A,Blade,Industrial
A320,"ProtecTech Electric Fuse, Time Lag Blow, 3A, 400VAC, 24VDC, 35A (IR), Panel Mount",Time Lag Blow,3A,400V,24V,35A,Panel Mount,Industrial
A321,"AmpShield Electric Fuse, Resettable, 30A, 32VAC, 48VDC, 200A (IR), Through Hole",Resettable,30A,32V,48V,200A,Through Hole,Automotive
A322,"ProtecTech Electric Fuse, PTC, 1.5A, 400VAC, 60VDC, 35A (IR), Surface Mount",PTC,1.5A,400V,60V,35A,Surface Mount,Consumer Electronics
A323,"AmpShield Electric Fuse, HRC, 1A, 125VAC, 60VDC, 200A (IR), Panel Mount",HRC,1A,125V,60V,200A,Panel Mount,Power Supply
A324,"Voltguard Electric Fuse, Fast Blow, 15A, 250VAC, 60VDC, 50A (IR), Surface Mount",Fast Blow,15A,250V,60V,50A,Surface Mount,Consumer Electronics
A325,"CircuitSafe Electric Fuse, Resettable, 10A, 400VAC, 60VDC, 10000A (IR), Through Hole",Resettable,10A,400V,60V,10000A,Through Hole,Automotive
A326,"AmpShield Electric Fuse, Time Lag Blow, 20A, 400VAC, 48VDC, 50A (IR), Panel Mount",Time Lag Blow,20A,400V,48V,50A,Panel Mount,Telecom
A327,"Voltguard Electric Fuse, HRC, 5A, 32VAC, 125VDC, 10000A (IR), Surface Mount",HRC,5A,32V,125V,10000A,Surface Mount,Industrial
A328,"AmpShield Electric Fuse, PTC, 5A, 63VAC, 24VDC, 100A (IR), Blade",PTC,5A,63V,24V,100A,Blade,Industrial
A329,"CircuitSafe Electric Fuse, Time Lag Blow, 5A, 125VAC, 150VDC, 10000A (IR), Panel Mount",Time Lag Blow,5A,125V,150V,10000A,Panel Mount,Automotive
